Dim0,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,label
0.013000657,0.036163777,0.0048910677,0.045235705,0.029746361,0.012595635,0.03192536,0.02252757,0
0.013259016,0.039832406,0.001775,0.05239503,0.033354513,0.011662358,0.03514817,0.025967026,0
0.012998125,0.037220284,0.004016792,0.04735985,0.030871402,0.0123490775,0.032880217,0.023521239,0
0.013870276,0.046427924,-0.006513795,0.06512101,0.03961448,0.0099202255,0.0408749,0.032153126,0
0.031019334,-0.048589975,0.06446159,-0.08557979,-0.040509988,0.017140968,-0.044174608,-0.030412372,0
0.03735173,-0.08602646,0.089317225,-0.13266718,-0.076356165,0.023175173,-0.077395946,-0.051156294,0
0.012486519,0.0274421,0.011429092,0.028213521,0.020379122,0.014514269,0.023917194,0.014284102,0
0.036080755,-0.076190345,0.08241976,-0.12104801,-0.067361586,0.021218555,-0.06916451,-0.046092838,0
0.012689333,0.0326769,0.007604949,0.03817961,0.025934253,0.013514642,0.028572572,0.019210458,0
0.029623182,-0.041402347,0.059903227,-0.076269016,-0.033495232,0.016202388,-0.037557352,-0.026239747,0
0.0129325,0.035817377,0.0051759956,0.044547345,0.029379342,0.012694528,0.031609327,0.022205198,0
0.013604024,0.042965177,-0.0015848696,0.05844464,0.036314458,0.0108128125,0.037847556,0.028910527,0
0.01264162,0.030155055,0.009436634,0.033330794,0.023231484,0.0140022375,0.026277136,0.01683759,0
0.012825306,0.03475696,0.0060065426,0.042400897,0.028221997,0.0129795605,0.030592944,0.021196265,0
0.013832653,0.045529637,-0.005254299,0.06338446,0.038750064,0.010142091,0.040078707,0.03131027,0
0.018608278,0.0016450909,0.032289058,-0.01913905,0.0016554007,0.014561246,0.0030628205,-0.0047000307,0
0.01353154,0.0422338,-0.0005145462,0.05702509,0.035621848,0.011012511,0.0372156,0.028218156,0
0.013022459,0.036160856,0.004880965,0.045234587,0.029740615,0.012587753,0.03191868,0.022529973,0
0.028478218,-0.03594254,0.05645581,-0.0690964,-0.028172728,0.0155231375,-0.032476168,-0.023004878,0
0.032759797,-0.057161286,0.069925494,-0.096735395,-0.048862636,0.01823848,-0.052122027,-0.03546918,0
0.012467003,0.025029132,0.013117395,0.02378761,0.017848056,0.01488289,0.021745507,0.012080734,0
0.036474276,-0.07934367,0.0846017,-0.124745496,-0.07033173,0.021878432,-0.07179517,-0.04767134,0
0.0125095695,0.026051888,0.012388726,0.025621727,0.018898027,0.014721142,0.022661574,0.012992524,0
0.012977485,0.037211925,0.004032378,0.047345873,0.030870039,0.012358465,0.032880995,0.023513846,0
0.032523654,-0.055982925,0.069170445,-0.09521147,-0.047720324,0.018085599,-0.051036287,-0.034780942,0
0.028116634,-0.034461264,0.05552738,-0.067123905,-0.026784752,0.015363375,-0.031079132,-0.022099905,0
0.0134961065,0.041776337,8.554802e-05,0.056138266,0.035185788,0.011132664,0.036816794,0.02778669,0
0.012808161,0.03395079,0.0066187396,0.04074888,0.02732679,0.013183582,0.029801805,0.020419091,0
0.028891793,-0.038193874,0.057856027,-0.07203299,-0.030365858,0.015829278,-0.03448649,-0.024297323,0
0.030366959,-0.045364734,0.062419437,-0.081368655,-0.03737406,0.016726777,-0.041201096,-0.028518531,0
0.0127981175,0.033837263,0.0067040864,0.040523402,0.027202427,0.013209699,0.029689442,0.020312423,0
0.028960256,-0.037860304,0.057697307,-0.071620755,-0.03001338,0.015727537,-0.034357987,-0.024162019,0
0.0022698303,0.042421345,0.008604851,0.05491403,0.043029364,0.014043173,0.037122972,0.027759124,0
0.028255964,-0.042986315,0.056590237,-0.07777619,-0.033025052,0.012861256,-0.035167072,-0.01858899,0
0.037679978,-0.07625731,0.07859414,-0.12282326,-0.0687747,0.016696991,-0.0675318,-0.03728486,0
0.0043354155,0.031442057,0.015043916,0.035662197,0.0312084,0.014662017,0.02835733,0.018940847,0
0.008687183,0.015198618,0.023560967,0.008456256,0.015886493,0.014322641,0.015816847,0.0072528953,0
0.0014021278,0.048418794,0.004773185,0.06657211,0.049868356,0.013087645,0.042313296,0.032807596,0
0.03534868,-0.067472704,0.07276367,-0.1115554,-0.059248846,0.015194896,-0.059656017,-0.032624904,0
0.0031580173,0.03736526,0.01166711,0.045723945,0.037458114,0.014445534,0.03302082,0.023665221,0
0.024427261,-0.030141942,0.048548862,-0.059872285,-0.019124465,0.0118433675,-0.02233815,-0.011315041,0
0.025201118,-0.03273083,0.050126217,-0.063247465,-0.021709725,0.012030362,-0.024879199,-0.012718225,0
0.0023528617,0.04170144,0.009036301,0.05352458,0.042197227,0.014127015,0.03653113,0.027175529,0
0.03301127,-0.05930893,0.06729641,-0.10058467,-0.050625473,0.014274317,-0.0516523,-0.02795812,0
0.035093825,-0.06673855,0.07227787,-0.11048926,-0.05846731,0.015090528,-0.05895234,-0.03218178,0
0.03142086,-0.05385987,0.063638665,-0.0932371,-0.04495576,0.013736131,-0.046187364,-0.024762573,0
0.035167143,-0.06680494,0.07233073,-0.11065318,-0.058511045,0.015088644,-0.0590559,-0.0322818,0
0.002168586,0.043051895,0.008188399,0.05614806,0.04374198,0.01392386,0.037685566,0.028304987,0
0.0018277464,0.045331456,0.0067058634,0.060594488,0.04633416,0.013528882,0.039683845,0.030247118,0
0.02676219,-0.037825894,0.053267572,-0.0704016,-0.027309999,0.012448863,-0.029921213,-0.015677024,0
0.0025497922,0.04037945,0.009891591,0.050945662,0.040682703,0.0143382745,0.03537794,0.02605532,0
0.0020948942,0.043383777,0.007934504,0.056810796,0.044105954,0.013824258,0.03801613,0.028618779,0
0.0021755132,0.043054234,0.00819407,0.05614725,0.043749895,0.013936005,0.037677087,0.028297555,0
0.025340129,-0.033329938,0.050452597,-0.064009555,-0.02234498,0.012074138,-0.025372723,-0.012970616,0
0.0030243867,0.037933823,0.011329456,0.046692394,0.038062505,0.01444353,0.033464964,0.02411208,0
0.0022861632,0.04214912,0.008754469,0.054394513,0.04270176,0.014052192,0.036919206,0.027555298,0
0.002202252,0.04288517,0.008297678,0.055821665,0.043555953,0.013952518,0.037534673,0.02816008,0
0.0011950332,0.049855158,0.0038638576,0.069364294,0.051506527,0.012863149,0.04354709,0.03400879,0
0.023582187,-0.027478509,0.0469063,-0.056330044,-0.016512878,0.011682216,-0.019697033,-0.009812574,0
0.00072521187,0.052994654,0.001778922,0.075790785,0.055052564,0.0123540135,0.046284348,0.03670616,0
0.002330412,0.041886725,0.008927573,0.05388145,0.04240553,0.0140995905,0.036684435,0.027328575,0
0.034198243,-0.06336639,0.07003736,-0.106041126,-0.054850984,0.014675561,-0.055729777,-0.030348368,0
0.0016451535,0.046681248,0.0058685956,0.06319897,0.0478878,0.013359616,0.040823907,0.031354543,0
0.0011846733,0.04990968,0.003835241,0.0694692,0.051554736,0.012843409,0.043596014,0.03406041,0
0.02072108,-0.025747556,0.05426441,-0.05480496,-0.021204617,0.011672893,-0.03369369,-0.017590629,0
-0.008875877,0.054433558,-0.00039318381,0.06800315,0.04935181,0.007985179,0.040227436,0.030053549,0
-0.009508405,0.057052866,-0.0033202316,0.07249807,0.051924918,0.0075267446,0.04241995,0.032099966,0
-0.005098189,0.03973263,0.009395268,0.043329198,0.03498164,0.01023317,0.028250176,0.018522479,0
-0.009123564,0.05555381,-0.0013764852,0.06970991,0.050433107,0.007831242,0.04102815,0.030774835,0
0.024837742,-0.040452905,0.06353619,-0.07259549,-0.034504212,0.013258884,-0.04720203,-0.02568468,0
