Dim0,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,label
-0.18092455,-0.9229408,0.17690101,-0.81007874,-0.8122266,0.15776724,-0.46779144,-0.888736,0
-0.18092342,-0.9229401,0.17690144,-0.81007886,-0.8122272,0.15776725,-0.46779212,-0.8887361,0
-0.18092392,-0.92293966,0.1769022,-0.8100791,-0.8122312,0.1577711,-0.4677866,-0.88873285,0
-0.18092401,-0.9229405,0.17690027,-0.81007826,-0.81222534,0.1577656,-0.46779412,-0.8887377,0
-0.18092187,-0.9229408,0.17690045,-0.8100786,-0.81222445,0.15776394,-0.4677962,-0.88873893,0
-0.18091938,-0.92294437,0.17690235,-0.81008226,-0.8122157,0.15775627,-0.4678059,-0.8887435,0
-0.18092217,-0.922939,0.1769013,-0.8100787,-0.81222934,0.15776834,-0.4677907,-0.88873535,0
-0.18091838,-0.9229427,0.17690238,-0.8100817,-0.81221896,0.15775828,-0.46780375,-0.88874227,0
-0.18092357,-0.92293954,0.17690223,-0.81007916,-0.8122305,0.15777044,-0.46778744,-0.88873327,0
-0.18092288,-0.9229437,0.17690036,-0.81007975,-0.81221735,0.1577586,-0.46780264,-0.8887424,0
-0.1809228,-0.9229393,0.17690215,-0.8100792,-0.81223005,0.15776949,-0.46778917,-0.88873434,0
-0.18092526,-0.92294145,0.1769007,-0.8100788,-0.8122257,0.15776667,-0.46779177,-0.8887362,0
-0.18092725,-0.92294365,0.17689995,-0.8100785,-0.81222105,0.15776363,-0.4677953,-0.88873863,0
-0.18092245,-0.9229389,0.17690223,-0.81007916,-0.8122309,0.15777011,-0.4677886,-0.8887339,0
-0.18092495,-0.9229415,0.17690007,-0.8100785,-0.8122241,0.15776505,-0.467794,-0.8887379,0
-0.18092366,-0.92294425,0.17690152,-0.81008065,-0.81221825,0.15776013,-0.4678003,-0.8887407,0
-0.18092467,-0.9229411,0.17690064,-0.81007874,-0.8122259,0.15776655,-0.46779206,-0.88873655,0
