Dim0,Dim1,Dim2,Dim3,label
0.018409621,0.030168753,-0.10311907,0.05662076,0
0.028800776,0.0310809,-0.10532222,0.05981462,0
0.024733696,0.03090623,-0.104410514,0.0586433,0
0.020396918,0.030382926,-0.103452496,0.05719733,0
0.02074589,0.030431733,-0.10355411,0.05733375,0
0.02107257,0.030467616,-0.10361112,0.057430223,0
0.021059468,0.03046368,-0.10360089,0.057419926,0
0.020906577,0.030444993,-0.10356554,0.057367485,0
0.02076449,0.030427828,-0.10353508,0.057321392,0
0.020648178,0.03041368,-0.10350815,0.057281222,0
0.020640666,0.030413073,-0.10350908,0.05728118,0
0.020650487,0.030414604,-0.10351214,0.05728483,0
0.03704756,0.03134564,-0.10730915,0.062242378,0
0.024492554,0.03087344,-0.10434239,0.0585503,0
0.037054498,0.031341117,-0.107294686,0.062230907,0
0.036942955,0.031333923,-0.10725332,0.06218658,0
0.040738445,0.031444963,-0.1081522,0.063295186,0
0.04073657,0.03144488,-0.10815039,0.06329381,0
0.041580904,0.031459913,-0.10831928,0.06351513,0
0.0484669,0.03140073,-0.10961518,0.065137975,0
0.04464704,0.03156227,-0.10910169,0.064459935,0
0.02038149,0.030389348,-0.10348006,0.057217486,0
0.037040077,0.031345036,-0.10730676,0.062239274,0
0.028713748,0.031079376,-0.10530699,0.059793387,0
0.03704767,0.031340864,-0.10729196,0.06222841,0
0.036942247,0.031333636,-0.10725216,0.06218541,0
0.04073097,0.03144543,-0.1081511,0.06329365,0
0.04073149,0.031444736,-0.10814994,0.06329299,0
0.028800588,0.031080918,-0.1053215,0.059813924,0
0.044509865,0.03155861,-0.10906947,0.06441997,0
0.037098266,0.031334728,-0.107276574,0.062220745,0
0.033019602,0.03121132,-0.10631205,0.061033007,0
0.032384656,0.0358015,-0.104359545,0.058514573,0
0.028442893,0.035575,-0.1029711,0.056934524,0
0.032642554,0.03581738,-0.10446442,0.05863079,0
0.0284067,0.03557246,-0.102956995,0.05691918,0
0.032627966,0.03581601,-0.104453936,0.058620363,0
0.03278887,0.03582507,-0.10450475,0.05867988,0
0.036397386,0.036032606,-0.10574353,0.060102914,0
0.03638819,0.036031995,-0.105739914,0.060098633,0
0.040065397,0.03624334,-0.10697884,0.061532654,0
0.03329815,0.035853866,-0.10466576,0.058868043,0
0.0323482,0.035799615,-0.10434705,0.058500025,0
0.028405678,0.035572793,-0.10295785,0.056919612,0
0.04740799,0.03666609,-0.10938798,0.06435285,0
0.028448677,0.03557532,-0.10297359,0.056937482,0
0.047399487,0.036665138,-0.109380424,0.064345054,0
0.047202796,0.03665364,-0.109312594,0.064266935,0
0.050749365,0.03685727,-0.1104288,0.0655939,0
0.050742403,0.03685696,-0.11042642,0.0655908,0
0.05430731,0.037061796,-0.11152618,0.06690963,0
0.05449776,0.037072457,-0.11158428,0.06697929,0
0.054404534,0.037067376,-0.11155533,0.066944346,0
0.032395225,0.035802253,-0.10436476,0.058520056,0
0.043773044,0.03645732,-0.10821429,0.06297101,0
0.028398292,0.035572372,-0.102953315,0.05691513,0
0.043762375,0.036456198,-0.10820549,0.06296242,0
0.040077288,0.036244173,-0.10698597,0.06154005,0
0.043665826,0.036450606,-0.108165935,0.06291846,0
0.047295403,0.03665905,-0.10933727,0.06429747,0
0.050914213,0.03686658,-0.11047726,0.065652296,0
0.03626168,0.036024548,-0.10569573,0.06004775,0
0.0284382,0.035574745,-0.10296892,0.056932464,0
0.043765374,0.036456537,-0.10820752,0.06296434,0
0.066813745,0.0486597,-0.072064176,0.010466745,0
0.06685505,0.048617758,-0.07204927,0.010462347,0
0.06685163,0.04861784,-0.072047524,0.0104608955,0
0.06931995,0.047168016,-0.07211393,0.010789729,0
0.06445481,0.050033573,-0.0719798,0.010157772,0
0.0669442,0.04856917,-0.0720476,0.01046988,0
0.05670596,0.054181922,-0.07195699,0.009041619,0
0.061788995,0.051685534,-0.071985945,0.009889632,0
0.06449054,0.05033793,-0.07233181,0.010404668,0
0.06554387,0.049244054,-0.07185827,0.010169717,0
0.06441013,0.050155893,-0.07208806,0.010225049,0
0.07006625,0.046625845,-0.07203643,0.010808175,0
0.06453415,0.04998256,-0.071995765,0.010167259,0
0.06715183,0.048603073,-0.072237305,0.01063288,0
0.06572301,0.049273316,-0.0720142,0.010302382,0
0.067063466,0.04876056,-0.07233931,0.01069388,0
0.05954677,0.053120576,-0.072237,0.009737686,0
0.060764033,0.052253023,-0.07193863,0.00975376,0
0.056299355,0.054330166,-0.071921565,0.00894541,0
0.05558128,0.054780196,-0.07205073,0.008891861,0
0.055677287,0.054669544,-0.071995765,0.008879161,0
0.055700686,0.05463639,-0.07197752,0.008873378,0
0.05570043,0.054634187,-0.071976095,0.008872751,0
0.05834053,0.053396426,-0.0719459,0.009322407,0
