Dim1,Dim2,label
-0.14070549013495512,0.008416130287490777,1
-0.16030869037841722,0.029282805772701807,1
-0.1524378436028884,0.07299113102054726,1
-0.19987724398488405,-0.030210427359390855,1
0.2020153198930555,0.049777526314906305,1
0.4919476216794361,-0.04027492971381359,1
-0.11461788268359782,0.05174921361175375,1
0.40387085492332925,-0.029631839170355792,1
-0.1158391682801045,0.07582984197481213,1
0.1984603620148493,-0.08563998931615262,1
-0.13261827570499296,0.08699505279267973,1
-0.18674510997836255,-0.04616251838147548,1
-0.10496339567519164,-0.017843401109398766,1
-0.12913967259734713,0.10393504160497391,1
-0.19872913833199254,-0.06980923167812536,1
0.09164148793266062,-0.0874584941703454,1
-0.1782847328384535,-0.039050200887604775,1
-0.14433888293381142,-0.0017284300205617311,1
0.17522480796587547,-0.01582624016296652,1
0.25144868184684593,-0.04034813510999221,1
-0.07979775454169145,-0.028092246907336523,1
0.4317979664920431,-0.0029838138475040926,1
-0.07441402687074812,-0.07185413546152951,1
-0.14617101423178355,0.11089136429295614,1
0.25266220973587156,-0.026845598670212106,1
0.15875105050283414,0.1085771284711873,1
-0.17557301858882357,-0.05430264707326457,1
-0.1228323565334545,0.041320331934202946,1
0.11668392983828356,0.11764573708692885,1
0.22205744916377002,0.002804900029275636,1
-0.11987039567395905,0.05351947350301926,1
0.24411173469751282,-0.07922113104011914,1
-0.1390720459949622,-0.02629121327997652,1
0.2448073488522815,0.02897233618383233,1
0.4386555988390689,-0.03279737211652818,1
-0.08719483882269906,0.018139389872822254,1
0.013644302238196829,-0.053997273031307066,1
-0.19121311271974595,-0.08421990803581918,1
0.3587946984993129,0.007174909993814487,1
-0.1219373153648645,0.0833949372264727,1
0.16411890174793392,0.12101561407152751,1
0.19566143658145932,0.03220192105561035,1
-0.13373470968909873,0.06297393662410687,1
0.3220557133718499,-0.022238148192481988,1
0.4032890189830147,0.06752410129902145,1
0.2795296548078064,-0.013260066359185902,1
0.3772673275721068,-0.040111220387758974,1
-0.14358633913149763,0.021329025757838727,1
-0.1645715846748446,0.04924781050129245,1
0.18010002497872873,-0.013659919088528363,1
-0.12303171107058651,0.045499265106241825,1
-0.14869118000495607,0.11322684859195252,1
-0.14600030301023859,-0.029082674224454822,1
0.176786864112775,0.14349697680473036,1
-0.11244379821319513,0.08756333311587587,1
-0.13245006623371633,0.07383444855655065,1
-0.15006570490591123,-0.014867949414887376,1
-0.18619668737943032,-0.0766781522340828,1
0.12388281430405955,0.12866071969188048,1
-0.2011202177642119,-0.038536647323881484,1
-0.13465890316348325,0.04366135216322064,1
0.36746901148655414,-0.09620643023653207,1
-0.18660117924380284,-0.06396872574203304,1
-0.1827326395040238,-0.06134009052054407,1
